component_id,day,generation_kwh
PV013,4,0.658
PV013,5,0.356
PV013,6,1.978
PV013,7,2.217
PV013,8,2.312
PV013,9,1.24
PV013,10,2.233
PV013,11,2.247
PV013,12,1.58
PV013,13,2.09
PV013,14,0.533
PV013,15,2.093
PV014,1,2.417
PV014,2,2.187
PV014,3,1.423
PV014,4,0.671
PV014,5,0.36
PV014,6,2.089
PV014,7,2.28
PV014,8,2.413
PV014,9,1.287
PV014,10,2.182
PV014,11,2.327
PV014,12,1.591
PV014,13,2.171
PV014,14,0.537
PV014,15,2.135
PV015,1,2.44
PV015,2,2.263
PV015,3,1.488
PV015,4,0.723
PV015,5,0.378
PV015,6,2.115
PV015,7,2.431
PV015,8,2.506
PV015,9,1.344
PV015,10,2.355
PV015,11,2.43
PV015,12,1.68
PV015,13,2.249
PV015,14,0.585
PV015,15,2.17
PV016,1,2.753
PV016,2,2.493
PV016,3,1.621
PV016,4,0.793
PV016,5,0.417
PV016,6,2.344
PV016,7,2.65
PV016,8,2.734
PV016,9,1.467
PV016,10,2.623
PV016,11,2.73
PV016,12,1.806
PV016,13,2.439
PV016,14,0.624
PV016,15,2.455
PV017,1,2.682
PV017,2,2.476
PV017,3,1.566
PV017,4,0.751
PV017,5,0.412
PV017,6,2.304
PV017,7,2.551
PV017,8,2.745
PV017,9,1.431
PV017,10,2.438
PV017,11,2.624
PV017,12,1.763
PV017,13,2.403
PV017,14,0.62
PV017,15,2.301
PV018,1,2.699
PV018,2,2.491
PV018,3,1.638
PV018,4,0.784
PV018,5,0.423
PV018,6,2.392
PV018,7,2.604
PV018,8,2.809
PV018,9,1.462
PV018,10,2.582
PV018,11,2.732
PV018,12,1.871
PV018,13,2.438
PV018,14,0.631
PV018,15,2.403
PV019,1,2.747
PV019,2,2.613
PV019,3,1.679
PV019,4,0.801
PV019,5,0.435
PV019,6,2.429
PV019,7,2.685
PV019,8,2.8
PV019,9,1.483
PV019,10,2.678
PV019,11,2.79
PV019,12,1.889
PV019,13,2.565
PV019,14,0.648
PV019,15,2.443
PV020,1,2.542
PV020,2,2.365
PV020,3,1.566
PV020,4,0.755
PV020,5,0.403
PV020,6,2.272
PV020,7,2.453
PV020,8,2.604
PV020,9,1.367
PV020,10,2.462
PV020,11,2.574
PV020,12,1.732
PV020,13,2.347
PV020,14,0.587
PV020,15,2.326
PV021,1,2.909
PV021,2,2.662
PV021,3,1.705
PV021,4,0.834
PV021,5,0.447
PV021,6,2.477
PV021,7,2.773
PV021,8,2.944
PV021,9,1.566
PV021,10,2.739
PV021,11,2.841
PV021,12,1.947
PV021,13,2.616
PV021,14,0.664
PV021,15,2.558
PV022,1,2.633
PV022,2,2.469
PV022,3,1.573
PV022,4,0.757
PV022,5,0.401
PV022,6,2.254
PV022,7,2.545
PV022,8,2.701
PV022,9,1.402
PV022,10,2.506
PV022,11,2.558
PV022,12,1.756
PV022,13,2.355
PV022,14,0.607
PV022,15,2.339
PV023,1,2.729
PV023,2,2.529
PV023,3,1.635
PV023,4,0.794
PV023,5,0.425
PV023,6,2.375
PV023,7,2.622
PV023,8,2.792
PV023,9,1.473
PV023,10,2.562
PV023,11,2.697
PV023,12,1.839
PV023,13,2.473
PV023,14,0.637
PV023,15,2.403
PV024,1,2.749
PV024,2,2.537
PV024,3,1.62
PV024,4,0.794
PV024,5,0.424
PV024,6,2.353
PV024,7,2.619
PV024,8,2.796
PV024,9,1.465
PV024,10,2.566
PV024,11,2.686
PV024,12,1.859
PV024,13,2.456
PV024,14,0.636
PV024,15,2.442
PV025,1,2.87
PV025,2,2.679
PV025,3,1.726
PV025,4,0.827
PV025,5,0.442
PV025,6,2.517
PV025,7,2.768
PV025,8,2.944
PV025,9,1.558
PV025,10,2.747
PV025,11,2.861
PV025,12,1.935
PV025,13,2.589
PV025,14,0.666
PV025,15,2.582
PV026,1,2.859
PV026,2,2.613
PV026,3,1.701
PV026,4,0.824
PV026,5,0.44
PV026,6,2.468
PV026,7,2.733
PV026,8,2.879
PV026,9,1.522
PV026,10,2.655
PV026,11,2.801
PV026,12,1.897
PV026,13,2.56
PV026,14,0.65
PV026,15,2.514
PV027,1,2.918
PV027,2,2.673
PV027,3,1.71
PV027,4,0.835
PV027,5,0.448
PV027,6,2.483
PV027,7,2.758
PV027,8,2.971
PV027,9,1.555
PV027,10,2.751
PV027,11,2.842
PV027,12,1.951
PV027,13,2.591
PV027,14,0.662
PV027,15,2.568
PV028,1,2.818
PV028,2,2.588
PV028,3,1.67
PV028,4,0.815
PV028,5,0.431
PV028,6,2.424
PV028,7,2.686
PV028,8,2.877
PV028,9,1.514
PV028,10,2.675
PV028,11,2.784
PV028,12,1.876
PV028,13,2.55
PV028,14,0.65
PV028,15,2.47
PV029,1,2.136
PV029,2,1.969
PV029,3,1.248
PV029,4,0.61
PV029,5,0.321
PV029,6,1.821
PV029,7,2.028
PV029,8,2.166
PV029,9,1.151
PV029,10,1.989
PV029,11,2.142
PV029,12,1.457
PV029,13,1.93
PV029,14,0.496
PV029,15,1.891
PV030,1,2.879
PV030,2,2.614
PV030,3,1.714
PV030,4,0.819
PV030,5,0.443
PV030,6,2.482
PV030,7,2.725
PV030,8,2.896
PV030,9,1.528
PV030,10,2.681
PV030,11,2.81
PV030,12,1.935
PV030,13,2.58
PV030,14,0.655
PV030,15,2.545
PV031,1,2.772
PV031,2,2.589
PV031,3,1.679
PV031,4,0.8
PV031,5,0.429
PV031,6,2.403
PV031,7,2.716
PV031,8,2.832
PV031,9,1.505
PV031,10,2.647
PV031,11,2.747
PV031,12,1.868
PV031,13,2.551
PV031,14,0.648
PV031,15,2.457
PV032,1,2.931
PV032,2,2.724
PV032,3,1.766
PV032,4,0.852
PV032,5,0.451
PV032,6,2.554
PV032,7,2.87
PV032,8,3.044
PV032,9,1.579
PV032,10,2.78
PV032,11,2.912
PV032,12,1.998
PV032,13,2.666
PV032,14,0.684
PV032,15,2.637
PV033,1,2.695
PV033,2,2.477
PV033,3,1.605
PV033,4,0.766
PV033,5,0.408
PV033,6,2.324
PV033,7,2.55
PV033,8,2.716
PV033,9,1.428
PV033,10,2.537
PV033,11,2.633
PV033,12,1.794
PV033,13,2.421
PV033,14,0.619
PV033,15,2.35
PV034,1,2.739
PV034,2,2.556
PV034,3,1.64
PV034,4,0.788
PV034,5,0.424
PV034,6,2.372
PV034,7,2.674
PV034,8,2.803
PV034,9,1.495
PV034,10,2.618
PV034,11,2.69
PV034,12,1.862
PV034,13,2.488
PV034,14,0.634
PV034,15,2.419
PV035,1,2.84
PV035,2,2.599
PV035,3,1.684
PV035,4,0.818
PV035,5,0.437
PV035,6,2.436
PV035,7,2.69
PV035,8,2.9
PV035,9,1.513
PV035,10,2.666
PV035,11,2.797
PV035,12,1.883
PV035,13,2.558
PV035,14,0.65
PV035,15,2.513
PV036,1,2.554
PV036,2,2.397
PV036,3,1.508
PV036,4,0.747
PV036,5,0.39
PV036,6,2.184
PV036,7,2.456
PV036,8,2.61
PV036,9,1.391
PV036,10,2.425
PV036,11,2.543
PV036,12,1.735
PV036,13,2.292
PV036,14,0.589
PV036,15,2.294
PV037,1,2.873
PV037,2,2.636
PV037,3,1.704
PV037,4,0.816
PV037,5,0.442
PV037,6,2.466
PV037,7,2.749
PV037,8,2.894
PV037,9,1.54
PV037,10,2.688
PV037,11,2.777
PV037,12,1.924
PV037,13,2.569
PV037,14,0.661
PV037,15,2.504
PV038,1,2.679
PV038,2,2.465
PV038,3,1.605
PV038,4,0.769
PV038,5,0.409
PV038,6,2.328
PV038,7,2.578
PV038,8,2.717
PV038,9,1.439
PV038,10,2.53
PV038,11,2.624
PV038,12,1.811
PV038,13,2.44
PV038,14,0.62
PV038,15,2.374
PV039,1,2.664
PV039,2,2.477
PV039,3,1.599
PV039,4,0.765
PV039,5,0.415
PV039,6,2.303
PV039,7,2.563
PV039,8,2.743
PV039,9,1.43
PV039,10,2.498
PV039,11,2.649
PV039,12,1.805
PV039,13,2.431
PV039,14,0.617
PV039,15,2.385
PV040,1,2.809
PV040,2,2.6
PV040,3,1.668
PV040,4,0.807
PV040,5,0.428
PV040,6,2.436
PV040,7,2.718
PV040,8,2.879
PV040,9,1.522
PV040,10,2.658
PV040,11,2.736
PV040,12,1.899
PV040,13,2.545
PV040,14,0.647
PV040,15,2.484
PV041,1,2.809
PV041,2,2.552
PV041,3,1.648
PV041,4,0.803
PV041,5,0.429
PV041,6,2.413
PV041,7,2.669
PV041,8,2.854
PV041,9,1.498
PV041,10,2.641
PV041,11,2.753
PV041,12,1.872
PV041,13,2.538
PV041,14,0.642
PV041,15,2.447
PV042,1,2.753
PV042,2,2.52
PV042,3,1.638
PV042,4,0.794
PV042,5,0.419
PV042,6,2.378
PV042,7,2.627
PV042,8,2.771
PV042,9,1.47
PV042,10,2.586
PV042,11,2.666
PV042,12,1.834
PV042,13,2.49
PV042,14,0.625
PV042,15,2.401
PV043,1,2.893
PV043,2,2.658
PV043,3,1.719
PV043,4,0.835
PV043,5,0.445
PV043,6,2.508
PV043,7,2.764
PV043,8,2.975
PV043,9,1.558
PV043,10,2.747
PV043,11,2.869
PV043,12,1.933
PV043,13,2.641
PV043,14,0.67
PV043,15,2.564
PV044,1,2.065
PV044,2,1.846
PV044,3,1.198
PV044,4,0.594
PV044,5,0.316
PV044,6,1.752
PV044,7,1.965
PV044,8,2.09
PV044,9,1.11
PV044,10,1.903
PV044,11,1.959
PV044,12,1.359
PV044,13,1.816
PV044,14,0.47
PV044,15,1.814
PV045,1,2.878
PV045,2,2.663
PV045,3,1.722
PV045,4,0.834
PV045,5,0.441
PV045,6,2.5
PV045,7,2.76
PV045,8,2.93
PV045,9,1.53
PV045,10,2.696
PV045,11,2.831
PV045,12,1.916
PV045,13,2.577
PV045,14,0.659
PV045,15,2.532
PV046,1,2.548
PV046,2,2.391
PV046,3,1.516
PV046,4,0.749
PV046,5,0.393
PV046,6,2.238
PV046,7,2.46
PV046,8,2.629
PV046,9,1.36
PV046,10,2.446
PV046,11,2.491
PV046,12,1.701
PV046,13,2.346
PV046,14,0.583
PV046,15,2.233
PV047,1,2.796
PV047,2,2.612
PV047,3,1.68
PV047,4,0.807
PV047,5,0.432
PV047,6,2.414
PV047,7,2.727
PV047,8,2.863
PV047,9,1.506
PV047,10,2.642
PV047,11,2.762
PV047,12,1.909
PV047,13,2.551
PV047,14,0.652
PV047,15,2.47
PV048,1,2.877
PV048,2,2.67
PV048,3,1.737
PV048,4,0.834
PV048,5,0.448
PV048,6,2.493
PV048,7,2.802
PV048,8,2.926
PV048,9,1.558
PV048,10,2.74
PV048,11,2.818
PV048,12,1.952
PV048,13,2.6
PV048,14,0.669
PV048,15,2.571
PV049,1,3.007
PV049,2,2.763
PV049,3,1.765
PV049,4,0.863
PV049,5,0.461
PV049,6,2.564
PV049,7,2.882
PV049,8,3.017
PV049,9,1.607
PV049,10,2.816
PV049,11,2.927
PV049,12,2.006
PV049,13,2.723
PV049,14,0.689
PV049,15,2.626
PV050,1,2.901
PV050,2,2.696
PV050,3,1.746
PV050,4,0.844
PV050,5,0.453
PV050,6,2.541
PV050,7,2.806
PV050,8,2.995
PV050,9,1.575
PV050,10,2.742
PV050,11,2.849
PV050,12,1.982
PV050,13,2.627
PV050,14,0.673
PV050,15,2.596
PV051,1,2.137
PV051,2,1.982
PV051,3,1.259
PV051,4,0.614
PV051,5,0.325
PV051,6,1.842
PV051,7,2.033
PV051,8,2.144
PV051,9,1.134
PV051,10,2.016
PV051,11,2.128
PV051,12,1.437
PV051,13,1.926
PV051,14,0.484
PV051,15,1.859
PV052,1,2.768
PV052,2,2.563
PV052,3,1.645
PV052,4,0.8
PV052,5,0.428
PV052,6,2.397
PV052,7,2.641
PV052,8,2.815
PV052,9,1.49
PV052,10,2.6
PV052,11,2.729
PV052,12,1.862
PV052,13,2.509
PV052,14,0.638
PV052,15,2.478
PV053,1,2.963
PV053,2,2.724
PV053,3,1.763
PV053,4,0.851
PV053,5,0.453
PV053,6,2.573
PV053,7,2.836
PV053,8,3.032
PV053,9,1.608
PV053,10,2.8
PV053,11,2.885
PV053,12,2.002
PV053,13,2.664
PV053,14,0.684
PV053,15,2.632
PV054,1,2.931
PV054,2,2.727
PV054,3,1.756
PV054,4,0.841
PV054,5,0.449
PV054,6,2.522
PV054,7,2.825
PV054,8,2.96
PV054,9,1.561
PV054,10,2.732
PV054,11,2.858
PV054,12,1.987
PV054,13,2.652
PV054,14,0.679
PV054,15,2.568
PV055,1,2.9
PV055,2,2.692
PV055,3,1.745
PV055,4,0.842
PV055,5,0.455
PV055,6,2.522
PV055,7,2.836
PV055,8,2.962
PV055,9,1.563
PV055,10,2.759
PV055,11,2.877
PV055,12,1.979
PV055,13,2.629
PV055,14,0.68
PV055,15,2.614
PV056,1,2.797
PV056,2,2.59
PV056,3,1.683
PV056,4,0.812
PV056,5,0.435
PV056,6,2.446
PV056,7,2.726
PV056,8,2.867
PV056,9,1.531
PV056,10,2.647
PV056,11,2.771
PV056,12,1.895
PV056,13,2.552
PV056,14,0.645
PV056,15,2.518
PV057,1,2.783
PV057,2,2.603
PV057,3,1.677
PV057,4,0.806
PV057,5,0.428
PV057,6,2.415
PV057,7,2.701
PV057,8,2.84
PV057,9,1.508
PV057,10,2.654
PV057,11,2.75
PV057,12,1.871
PV057,13,2.525
PV057,14,0.645
PV057,15,2.5
PV058,1,2.748
PV058,2,2.545
PV058,3,1.644
PV058,4,0.804
PV058,5,0.427
PV058,6,2.413
PV058,7,2.649
PV058,8,2.803
PV058,9,1.484
PV058,10,2.593
PV058,11,2.705
PV058,12,1.852
PV058,13,2.483
PV058,14,0.643
PV058,15,2.456
PV059,1,2.486
PV059,2,2.302
PV059,3,1.465
PV059,4,0.71
PV059,5,0.377
PV059,6,2.125
PV059,7,2.352
PV059,8,2.513
PV059,9,1.323
PV059,10,2.327
PV059,11,2.443
PV059,12,1.669
PV059,13,2.233
PV059,14,0.56
PV059,15,2.161
PV060,1,2.04
PV060,2,1.9
PV060,3,1.211
PV060,4,0.569
PV060,5,0.315
PV060,6,1.778
PV060,7,1.952
PV060,8,2.088
PV060,9,1.071
PV060,10,1.907
PV060,11,1.977
PV060,12,1.346
PV060,13,1.873
PV060,14,0.465
PV060,15,1.817
PV061,1,2.757
PV061,2,2.52
PV061,3,1.625
PV061,4,0.785
PV061,5,0.417
PV061,6,2.348
PV061,7,2.622
PV061,8,2.784
PV061,9,1.475
PV061,10,2.569
PV061,11,2.693
PV061,12,1.821
PV061,13,2.448
PV061,14,0.627
PV061,15,2.398
PV062,1,2.933
PV062,2,2.712
PV062,3,1.75
PV062,4,0.833
PV062,5,0.452
PV062,6,2.523
PV062,7,2.78
PV062,8,2.974
PV062,9,1.575
PV062,10,2.749
PV062,11,2.858
PV062,12,1.946
PV062,13,2.624
PV062,14,0.668
PV062,15,2.57
PV063,1,2.643
PV063,2,2.411
PV063,3,1.536
PV063,4,0.757
PV063,5,0.406
PV063,6,2.276
PV063,7,2.498
PV063,8,2.625
PV063,9,1.403
PV063,10,2.442
PV063,11,2.589
PV063,12,1.739
PV063,13,2.394
PV063,14,0.606
PV063,15,2.288
PV064,1,2.869
PV064,2,2.615
PV064,3,1.703
PV064,4,0.819
PV064,5,0.437
PV064,6,2.46
PV064,7,2.733
PV064,8,2.879
PV064,9,1.522
PV064,10,2.686
PV064,11,2.804
PV064,12,1.901
PV064,13,2.549
PV064,14,0.66
PV064,15,2.534
PV065,1,2.897
PV065,2,2.698
PV065,3,1.724
PV065,4,0.83
PV065,5,0.449
PV065,6,2.532
PV065,7,2.799
PV065,8,2.971
PV065,9,1.576
PV065,10,2.735
PV065,11,2.849
PV065,12,1.949
PV065,13,2.64
PV065,14,0.669
PV065,15,2.593
PV066,1,2.877
PV066,2,2.662
PV066,3,1.694
PV066,4,0.822
PV066,5,0.442
PV066,6,2.467
PV066,7,2.736
PV066,8,2.909
PV066,9,1.55
PV066,10,2.685
PV066,11,2.828
PV066,12,1.933
PV066,13,2.589
PV066,14,0.654
PV066,15,2.55
PV067,1,2.25
PV067,2,2.165
PV067,3,1.355
PV067,4,0.648
PV067,5,0.359
PV067,6,1.944
PV067,7,2.25
PV067,8,2.28
PV067,9,1.212
PV067,10,2.2
PV067,11,2.301
PV067,12,1.51
PV067,13,2.101
PV067,14,0.523
PV067,15,2.04
PV068,1,2.786
PV068,2,2.555
PV068,3,1.659
PV068,4,0.808
PV068,5,0.43
PV068,6,2.438
PV068,7,2.691
PV068,8,2.867
PV068,9,1.503
PV068,10,2.633
PV068,11,2.744
PV068,12,1.869
PV068,13,2.533
PV068,14,0.642
PV068,15,2.456
PV069,1,2.669
PV069,2,2.508
PV069,3,1.613
PV069,4,0.78
PV069,5,0.411
PV069,6,2.313
PV069,7,2.577
PV069,8,2.717
PV069,9,1.444
PV069,10,2.514
PV069,11,2.632
PV069,12,1.809
PV069,13,2.42
PV069,14,0.62
PV069,15,2.389
PV070,1,2.141
PV070,2,1.975
PV070,3,1.304
PV070,4,0.624
PV070,5,0.338
PV070,6,1.882
PV070,7,2.1
PV070,8,2.188
PV070,9,1.179
PV070,10,2.046
PV070,11,2.151
PV070,12,1.493
PV070,13,1.963
PV070,14,0.497
PV070,15,1.929
PV071,1,1.905
PV071,2,1.837
PV071,3,1.189
PV071,4,0.556
PV071,5,0.306
PV071,6,1.701
PV071,7,1.868
PV071,8,1.964
PV071,9,1.074
PV071,10,1.867
PV071,11,1.872
PV071,12,1.302
PV071,13,1.747
PV071,14,0.445
PV071,15,1.739
PV072,1,2.793
PV072,2,2.62
PV072,3,1.677
PV072,4,0.805
PV072,5,0.437
PV072,6,2.454
PV072,7,2.737
PV072,8,2.897
PV072,9,1.526
PV072,10,2.675
PV072,11,2.788
PV072,12,1.908
PV072,13,2.535
PV072,14,0.655
PV072,15,2.48
PV073,1,2.915
PV073,2,2.694
PV073,3,1.757
PV073,4,0.851
PV073,5,0.453
PV073,6,2.52
PV073,7,2.798
PV073,8,2.997
PV073,9,1.565
PV073,10,2.78
PV073,11,2.85
PV073,12,1.969
PV073,13,2.631
PV073,14,0.682
PV073,15,2.586
PV074,1,2.843
PV074,2,2.613
PV074,3,1.707
PV074,4,0.828
PV074,5,0.437
PV074,6,2.464
PV074,7,2.726
PV074,8,2.883
PV074,9,1.546
PV074,10,2.707
PV074,11,2.819
PV074,12,1.909
PV074,13,2.593
PV074,14,0.661
PV074,15,2.518
PV075,1,2.745
PV075,2,2.568
PV075,3,1.641
PV075,4,0.801
PV075,5,0.427
PV075,6,2.39
PV075,7,2.68
PV075,8,2.824
PV075,9,1.478
PV075,10,2.603
PV075,11,2.702
PV075,12,1.849
PV075,13,2.495
PV075,14,0.642
PV075,15,2.437
PV076,1,2.028
PV076,2,1.896
PV076,3,1.208
PV076,4,0.594
PV076,5,0.313
PV076,6,1.776
PV076,7,2.005
PV076,8,2.061
PV076,9,1.104
PV076,10,1.936
PV076,11,2.014
PV076,12,1.37
PV076,13,1.862
PV076,14,0.474
PV076,15,1.77
PV077,1,2.542
PV077,2,2.346
PV077,3,1.559
PV077,4,0.735
PV077,5,0.393
PV077,6,2.233
PV077,7,2.47
PV077,8,2.617
PV077,9,1.407
PV077,10,2.443
PV077,11,2.531
PV077,12,1.739
PV077,13,2.345
PV077,14,0.602
PV077,15,2.291
PV078,1,2.296
PV078,2,2.097
PV078,3,1.376
PV078,4,0.644
PV078,5,0.351
PV078,6,1.927
PV078,7,2.166
PV078,8,2.272
PV078,9,1.208
PV078,10,2.18
PV078,11,2.201
PV078,12,1.551
PV078,13,2.056
PV078,14,0.51
PV078,15,1.976
PV079,1,2.84
PV079,2,2.62
PV079,3,1.688
PV079,4,0.805
PV079,5,0.43
PV079,6,2.442
PV079,7,2.731
PV079,8,2.842
PV079,9,1.51
PV079,10,2.677
PV079,11,2.775
PV079,12,1.883
PV079,13,2.56
PV079,14,0.65
PV079,15,2.493
PV080,1,2.642
PV080,2,2.397
PV080,3,1.573
PV080,4,0.762
PV080,5,0.404
PV080,6,2.25
PV080,7,2.553
PV080,8,2.707
PV080,9,1.411
PV080,10,2.488
PV080,11,2.537
PV080,12,1.781
PV080,13,2.339
PV080,14,0.601
PV080,15,2.335
PV081,1,2.764
PV081,2,2.523
PV081,3,1.637
PV081,4,0.79
PV081,5,0.424
PV081,6,2.37
PV081,7,2.63
PV081,8,2.81
PV081,9,1.482
PV081,10,2.605
PV081,11,2.704
PV081,12,1.847
PV081,13,2.5
PV081,14,0.64
PV081,15,2.461
PV082,1,2.971
PV082,2,2.723
PV082,3,1.771
PV082,4,0.846
PV082,5,0.46
PV082,6,2.581
PV082,7,2.843
PV082,8,2.995
PV082,9,1.601
PV082,10,2.787
PV082,11,2.928
PV082,12,1.986
PV082,13,2.658
PV082,14,0.678
PV082,15,2.626
PV083,1,2.506
PV083,2,2.322
PV083,3,1.485
PV083,4,0.723
PV083,5,0.382
PV083,6,2.164
PV083,7,2.398
PV083,8,2.57
PV083,9,1.33
PV083,10,2.366
PV083,11,2.479
PV083,12,1.685
PV083,13,2.284
PV083,14,0.576
PV083,15,2.237
PV084,1,1.908
PV084,2,1.798
PV084,3,1.137
PV084,4,0.559
PV084,5,0.292
PV084,6,1.643
PV084,7,1.82
PV084,8,1.997
PV084,9,1.041
PV084,10,1.803
PV084,11,1.841
PV084,12,1.263
PV084,13,1.726
PV084,14,0.448
PV084,15,1.684
PV085,1,2.947
PV085,2,2.716
PV085,3,1.786
PV085,4,0.857
PV085,5,0.458
PV085,6,2.564
PV085,7,2.876
PV085,8,3.052
PV085,9,1.596
PV085,10,2.821
PV085,11,2.885
PV085,12,1.99
PV085,13,2.673
PV085,14,0.68
PV085,15,2.627
PV086,1,2.948
PV086,2,2.739
PV086,3,1.782
PV086,4,0.854
PV086,5,0.457
PV086,6,2.549
PV086,7,2.842
PV086,8,3.009
PV086,9,1.596
PV086,10,2.801
PV086,11,2.927
PV086,12,2.003
PV086,13,2.693
PV086,14,0.686
PV086,15,2.632
PV087,1,2.895
PV087,2,2.674
PV087,3,1.704
PV087,4,0.829
PV087,5,0.446
PV087,6,2.518
PV087,7,2.766
PV087,8,2.922
PV087,9,1.543
PV087,10,2.728
PV087,11,2.806
PV087,12,1.952
PV087,13,2.633
PV087,14,0.661
PV087,15,2.554
PV088,1,2.85
PV088,2,2.635
PV088,3,1.692
PV088,4,0.821
PV088,5,0.438
PV088,6,2.494
PV088,7,2.753
PV088,8,2.934
PV088,9,1.528
PV088,10,2.706
PV088,11,2.777
PV088,12,1.907
PV088,13,2.579
PV088,14,0.658
PV088,15,2.533
PV089,1,2.755
PV089,2,2.533
PV089,3,1.646
PV089,4,0.794
PV089,5,0.421
PV089,6,2.397
PV089,7,2.659
PV089,8,2.814
PV089,9,1.48
PV089,10,2.586
PV089,11,2.733
PV089,12,1.841
PV089,13,2.48
PV089,14,0.643
PV089,15,2.455
PV090,1,2.841
PV090,2,2.597
PV090,3,1.672
PV090,4,0.815
PV090,5,0.434
PV090,6,2.427
PV090,7,2.719
PV090,8,2.864
PV090,9,1.523
PV090,10,2.672
PV090,11,2.763
PV090,12,1.898
PV090,13,2.566
PV090,14,0.651
PV090,15,2.498
PV091,1,2.961
PV091,2,2.746
PV091,3,1.778
PV091,4,0.86
PV091,5,0.461
PV091,6,2.573
PV091,7,2.866
PV091,8,3.072
PV091,9,1.597
PV091,10,2.839
PV091,11,2.926
PV091,12,2.017
PV091,13,2.691
PV091,14,0.688
PV091,15,2.62
PV092,1,2.936
PV092,2,2.709
PV092,3,1.738
PV092,4,0.854
PV092,5,0.455
PV092,6,2.53
PV092,7,2.843
PV092,8,2.971
PV092,9,1.587
PV092,10,2.772
PV092,11,2.866
PV092,12,1.99
PV092,13,2.649
PV092,14,0.685
PV092,15,2.608
PV093,1,2.547
PV093,2,2.348
PV093,3,1.523
PV093,4,0.735
PV093,5,0.392
PV093,6,2.245
PV093,7,2.443
PV093,8,2.659
PV093,9,1.391
PV093,10,2.423
PV093,11,2.529
PV093,12,1.737
PV093,13,2.339
PV093,14,0.601
PV093,15,2.287
PV094,1,2.821
PV094,2,2.57
