component_id,fault_class,shading_suspect,shading_screen_status,config_dispersion,config_cutoff,config_anomaly_days,global_dispersion,global_cutoff,global_anomaly_days
PV045,正常,False,未发现疑似遮挡,0.007791768621464973,0.013716026858042338,0,0.007271293971271992,0.012783297549066052,0
PV046,隐裂,False,未发现疑似遮挡,0.015295399513043866,0.013716026858042338,1,0.012836577148978711,0.012783297549066052,0
PV047,正常,False,未发现疑似遮挡,0.007043243649897028,0.013716026858042338,0,0.007054822950124161,0.012783297549066052,0
PV048,正常,False,未发现疑似遮挡,0.008491469858903497,0.013716026858042338,0,0.004878107713914815,0.012783297549066052,0
PV049,正常,False,未发现疑似遮挡,0.006788863920741657,0.013716026858042338,0,0.004159897737466404,0.012783297549066052,0
PV050,正常,False,未发现疑似遮挡,0.010026872949235046,0.013716026858042338,0,0.007388332142548831,0.012783297549066052,0
PV051,热斑,False,未发现疑似遮挡,0.007653779040174939,0.013716026858042338,0,0.011004768419100544,0.012783297549066052,0
PV052,正常,False,未发现疑似遮挡,0.006075299501133134,0.013716026858042338,0,0.0020178571280144047,0.012783297549066052,0
PV053,正常,False,未发现疑似遮挡,0.005754820614429595,0.015221232598954013,0,0.007604296502385993,0.012783297549066052,0
PV054,正常,False,未发现疑似遮挡,0.007892806832842783,0.015221232598954013,0,0.007670121441776048,0.012783297549066052,0
PV055,正常,False,未发现疑似遮挡,0.010299224739597199,0.015221232598954013,0,0.006689436873650813,0.012783297549066052,0
PV056,正常,False,未发现疑似遮挡,0.005400371657158114,0.015221232598954013,0,0.0029861229316900917,0.012783297549066052,0
PV057,正常,False,未发现疑似遮挡,0.005597582811353405,0.015221232598954013,0,0.0036458292664641855,0.012783297549066052,0
PV058,正常,False,未发现疑似遮挡,0.003918137318259938,0.015221232598954013,0,0.00553550561599139,0.012783297549066052,0
PV059,隐裂,False,未发现疑似遮挡,0.008625272930047159,0.015221232598954013,0,0.007345964227281216,0.012783297549066052,0
PV060,热斑,False,筛查不稳定,0.009925436279232059,0.015221232598954013,1,0.015036888758551428,0.012783297549066052,2
PV061,正常,False,未发现疑似遮挡,0.00759404250059919,0.015221232598954013,0,0.0059727603210204495,0.012783297549066052,0
PV062,正常,False,未发现疑似遮挡,0.007194082373125603,0.015221232598954013,0,0.007955421206108733,0.012783297549066052,0
PV063,隐裂,False,未发现疑似遮挡,0.009271772670487207,0.013593062072553782,1,0.013050887453292803,0.012783297549066052,0
PV064,正常,False,未发现疑似遮挡,0.006755514544806299,0.013593062072553782,0,0.0055087011245047125,0.012783297549066052,0
PV065,正常,False,未发现疑似遮挡,0.003142859760119462,0.013593062072553782,0,0.0064999137873889825,0.012783297549066052,0
PV066,正常,False,未发现疑似遮挡,0.0076743004778684325,0.013593062072553782,0,0.008299952190811477,0.012783297549066052,0
PV067,热斑,True,疑似遮挡,0.021695392399023447,0.013593062072553782,7,0.020089632081568526,0.012783297549066052,6
PV068,正常,False,未发现疑似遮挡,0.0029289173872871993,0.013593062072553782,0,0.002997996157062732,0.012783297549066052,0
PV069,正常,False,未发现疑似遮挡,0.007216757398476786,0.013593062072553782,0,0.005639179491732591,0.012783297549066052,0
PV070,热斑,False,未发现疑似遮挡,0.011818688237006453,0.013593062072553782,1,0.010466634294200918,0.012783297549066052,1
PV071,热斑,True,疑似遮挡,0.024290603252436482,0.013593062072553782,5,0.024066594555838594,0.012783297549066052,4
PV072,正常,False,未发现疑似遮挡,0.004741906771187724,0.013593062072553782,0,0.0039112787756776166,0.012783297549066052,0
PV073,正常,False,未发现疑似遮挡,0.0077808059515287985,0.013716026858042338,0,0.007893699599095886,0.012783297549066052,0
PV074,正常,False,未发现疑似遮挡,0.005531798311357437,0.013716026858042338,0,0.007584705845939173,0.012783297549066052,0
PV075,正常,False,未发现疑似遮挡,0.009111673640905073,0.013716026858042338,0,0.006502382610255234,0.012783297549066052,0
PV076,热斑,False,未发现疑似遮挡,0.008884520969139841,0.013716026858042338,0,0.008685079222908332,0.012783297549066052,1
PV077,隐裂,False,未发现疑似遮挡,0.010586502676076918,0.013716026858042338,0,0.014761757067295255,0.012783297549066052,0
PV078,热斑,False,筛查不稳定,0.013741706274415668,0.013716026858042338,0,0.015347411614985006,0.012783297549066052,4
PV079,正常,False,未发现疑似遮挡,0.002726829586678329,0.013716026858042338,0,0.006602059299074215,0.012783297549066052,0
PV080,隐裂,False,未发现疑似遮挡,0.010071201950479159,0.013716026858042338,0,0.0077115028003112655,0.012783297549066052,0
PV081,正常,False,未发现疑似遮挡,0.008650116220031163,0.013716026858042338,0,0.005063568291418115,0.012783297549066052,0
PV082,正常,False,未发现疑似遮挡,0.007708101265257017,0.013716026858042338,0,0.008130019490914303,0.012783297549066052,0
PV083,隐裂,False,未发现疑似遮挡,0.009470062536262572,0.015221232598954013,0,0.007153619777896862,0.012783297549066052,0
PV084,热斑,False,未发现疑似遮挡,0.014091930509140071,0.015221232598954013,3,0.01918568548349482,0.012783297549066052,1
PV085,正常,False,未发现疑似遮挡,0.00768894725149006,0.015221232598954013,0,0.006346638141912881,0.012783297549066052,0
PV086,正常,False,未发现疑似遮挡,0.004672000029326123,0.015221232598954013,0,0.005200476867867312,0.012783297549066052,0
PV087,正常,False,未发现疑似遮挡,0.005449072731236725,0.015221232598954013,0,0.007536637864053102,0.012783297549066052,0
PV088,正常,False,未发现疑似遮挡,0.007567581622180903,0.015221232598954013,0,0.005141836783622348,0.012783297549066052,0
PV089,正常,False,未发现疑似遮挡,0.005280503548718524,0.015221232598954013,0,0.007289658996555047,0.012783297549066052,0
PV090,正常,False,未发现疑似遮挡,0.0053170550291835985,0.015221232598954013,0,0.004727556342720011,0.012783297549066052,0
PV091,正常,False,未发现疑似遮挡,0.005131086604349671,0.015221232598954013,0,0.005295207305541215,0.012783297549066052,0
PV092,正常,False,未发现疑似遮挡,0.00908540166858667,0.015221232598954013,0,0.00587586416564122,0.012783297549066052,0
PV093,隐裂,False,未发现疑似遮挡,0.012140751041489107,0.015221232598954013,0,0.012288311400970798,0.012783297549066052,0
PV094,正常,False,未发现疑似遮挡,0.0073820964801018804,0.015221232598954013,0,0.0050173357674005966,0.012783297549066052,0
PV095,正常,False,未发现疑似遮挡,0.007980900629164931,0.015221232598954013,0,0.004886498502716565,0.012783297549066052,0
PV096,正常,False,未发现疑似遮挡,0.007962703535080216,0.015221232598954013,0,0.008048386336990792,0.012783297549066052,0
PV097,隐裂,False,未发现疑似遮挡,0.007066905960905248,0.015221232598954013,0,0.010131714897836923,0.012783297549066052,0
PV098,正常,False,未发现疑似遮挡,0.009133676364108657,0.015221232598954013,0,0.005987046722180869,0.012783297549066052,0
PV099,正常,False,未发现疑似遮挡,0.008224360306109506,0.015221232598954013,0,0.006809259384471018,0.012783297549066052,0
PV100,正常,False,未发现疑似遮挡,0.006895086245719325,0.015221232598954013,0,0.004620056287825598,0.012783297549066052,0
