component_id,deviation_pct,fault_class,shading_suspect,shading_screen_status,config_dispersion,config_cutoff,config_anomaly_days,global_dispersion,global_cutoff,global_anomaly_days,string,azimuth_deg,tilt_deg,service_years,reference_label,reference_match
PV035,2.4,正常,False,未发现疑似遮挡,0.007403147975683661,0.013593062072553782,0,0.006978984294484108,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV036,-7.1,隐裂,False,筛查不稳定,0.015066411569051742,0.013593062072553782,2,0.012604442509198682,0.012783297549066052,0,STR5,185.0,26.0,3.0,隐裂,True
PV037,3.2,正常,False,未发现疑似遮挡,0.00910148478412284,0.013593062072553782,0,0.00569863399311737,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV038,-2.9,正常,False,未发现疑似遮挡,0.0059607728027457505,0.013593062072553782,0,0.00436860766459209,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV039,-3.0,正常,False,未发现疑似遮挡,0.010287592412915358,0.013593062072553782,0,0.007702578510940895,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV040,1.9,正常,False,未发现疑似遮挡,0.007093469478762753,0.013593062072553782,0,0.0049231087319139555,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV041,1.0,正常,False,未发现疑似遮挡,0.0017535188324406315,0.013593062072553782,0,0.006551919698308618,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV042,-1.0,正常,False,未发现疑似遮挡,0.0071612524531996,0.013593062072553782,0,0.008238961307372951,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV043,0.9,正常,False,未发现疑似遮挡,0.006857098447354901,0.013716026858042338,0,0.0050919007055618025,0.012783297549066052,0,STR6,175.0,24.0,2.0,正常,True
PV044,-29.3,热斑,False,未发现疑似遮挡,0.019279579772241023,0.013716026858042338,1,0.016475585100712186,0.012783297549066052,1,STR6,175.0,24.0,2.0,热斑,True
PV045,-0.1,正常,False,未发现疑似遮挡,0.007791768621464973,0.013716026858042338,0,0.007271293971271992,0.012783297549066052,0,STR6,175.0,24.0,2.0,正常,True
PV046,-10.9,隐裂,False,未发现疑似遮挡,0.015295399513043866,0.013716026858042338,1,0.012836577148978711,0.012783297549066052,0,STR6,175.0,24.0,2.0,隐裂,True
PV047,-2.2,正常,False,未发现疑似遮挡,0.007043243649897028,0.013716026858042338,0,0.007054822950124161,0.012783297549066052,0,STR6,175.0,24.0,2.0,正常,True
PV048,0.6,正常,False,未发现疑似遮挡,0.008491469858903497,0.013716026858042338,0,0.004878107713914815,0.012783297549066052,0,STR6,175.0,24.0,2.0,正常,True
PV049,3.9,正常,False,未发现疑似遮挡,0.006788863920741657,0.013716026858042338,0,0.004159897737466404,0.012783297549066052,0,STR6,175.0,24.0,2.0,正常,True
PV050,1.7,正常,False,未发现疑似遮挡,0.010026872949235046,0.013716026858042338,0,0.007388332142548831,0.012783297549066052,0,STR6,175.0,24.0,2.0,正常,True
PV051,-26.0,热斑,False,未发现疑似遮挡,0.007653779040174939,0.013716026858042338,0,0.011004768419100544,0.012783297549066052,0,STR6,175.0,24.0,2.0,热斑,True
PV052,-3.6,正常,False,未发现疑似遮挡,0.006075299501133134,0.013716026858042338,0,0.0020178571280144047,0.012783297549066052,0,STR6,175.0,24.0,2.0,正常,True
PV053,3.6,正常,False,未发现疑似遮挡,0.005754820614429595,0.015221232598954013,0,0.007604296502385993,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV054,2.2,正常,False,未发现疑似遮挡,0.007892806832842783,0.015221232598954013,0,0.007670121441776048,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV055,2.2,正常,False,未发现疑似遮挡,0.010299224739597199,0.015221232598954013,0,0.006689436873650813,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV056,-1.4,正常,False,未发现疑似遮挡,0.005400371657158114,0.015221232598954013,0,0.0029861229316900917,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV057,-2.1,正常,False,未发现疑似遮挡,0.005597582811353405,0.015221232598954013,0,0.0036458292664641855,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV058,-3.5,正常,False,未发现疑似遮挡,0.003918137318259938,0.015221232598954013,0,0.00553550561599139,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV059,-13.7,隐裂,False,未发现疑似遮挡,0.008625272930047159,0.015221232598954013,0,0.007345964227281216,0.012783297549066052,0,STR7,180.0,25.0,1.0,隐裂,True
PV060,-28.8,热斑,False,筛查不稳定,0.009925436279232059,0.015221232598954013,1,0.015036888758551428,0.012783297549066052,2,STR7,180.0,25.0,1.0,热斑,True
PV061,-4.7,正常,False,未发现疑似遮挡,0.00759404250059919,0.015221232598954013,0,0.0059727603210204495,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV062,1.9,正常,False,未发现疑似遮挡,0.007194082373125603,0.015221232598954013,0,0.007955421206108733,0.012783297549066052,0,STR7,180.0,25.0,1.0,正常,True
PV063,-6.4,隐裂,False,未发现疑似遮挡,0.009271772670487207,0.013593062072553782,1,0.013050887453292803,0.012783297549066052,0,STR8,185.0,26.0,2.0,隐裂,True
PV064,2.0,正常,False,未发现疑似遮挡,0.006755514544806299,0.013593062072553782,0,0.0055087011245047125,0.012783297549066052,0,STR8,185.0,26.0,2.0,正常,True
PV065,4.4,正常,False,未发现疑似遮挡,0.003142859760119462,0.013593062072553782,0,0.0064999137873889825,0.012783297549066052,0,STR8,185.0,26.0,2.0,正常,True
PV066,2.7,正常,False,未发现疑似遮挡,0.0076743004778684325,0.013593062072553782,0,0.008299952190811477,0.012783297549066052,0,STR8,185.0,26.0,2.0,正常,True
PV067,-17.8,热斑,True,疑似遮挡,0.021695392399023447,0.013593062072553782,7,0.020089632081568526,0.012783297549066052,6,STR8,185.0,26.0,2.0,热斑,True
PV068,0.1,正常,False,未发现疑似遮挡,0.0029289173872871993,0.013593062072553782,0,0.002997996157062732,0.012783297549066052,0,STR8,185.0,26.0,2.0,正常,True
PV069,-3.8,正常,False,未发现疑似遮挡,0.007216757398476786,0.013593062072553782,0,0.005639179491732591,0.012783297549066052,0,STR8,185.0,26.0,2.0,正常,True
PV070,-22.1,热斑,False,未发现疑似遮挡,0.011818688237006453,0.013593062072553782,1,0.010466634294200918,0.012783297549066052,1,STR8,185.0,26.0,2.0,热斑,True
PV071,-30.1,热斑,True,疑似遮挡,0.024290603252436482,0.013593062072553782,5,0.024066594555838594,0.012783297549066052,4,STR8,185.0,26.0,2.0,热斑,True
PV072,1.4,正常,False,未发现疑似遮挡,0.004741906771187724,0.013593062072553782,0,0.0039112787756776166,0.012783297549066052,0,STR8,185.0,26.0,2.0,正常,True
PV073,2.8,正常,False,未发现疑似遮挡,0.0077808059515287985,0.013716026858042338,0,0.007893699599095886,0.012783297549066052,0,STR9,175.0,24.0,3.0,正常,True
PV074,0.2,正常,False,未发现疑似遮挡,0.005531798311357437,0.013716026858042338,0,0.007584705845939173,0.012783297549066052,0,STR9,175.0,24.0,3.0,正常,True
PV075,-2.9,正常,False,未发现疑似遮挡,0.009111673640905073,0.013716026858042338,0,0.006502382610255234,0.012783297549066052,0,STR9,175.0,24.0,3.0,正常,True
PV076,-28.1,热斑,False,未发现疑似遮挡,0.008884520969139841,0.013716026858042338,0,0.008685079222908332,0.012783297549066052,1,STR9,175.0,24.0,3.0,热斑,True
PV077,-9.4,隐裂,False,未发现疑似遮挡,0.010586502676076918,0.013716026858042338,0,0.014761757067295255,0.012783297549066052,0,STR9,175.0,24.0,3.0,隐裂,True
PV078,-20.4,热斑,False,筛查不稳定,0.013741706274415668,0.013716026858042338,0,0.015347411614985006,0.012783297549066052,4,STR9,175.0,24.0,3.0,热斑,True
PV079,-0.8,正常,False,未发现疑似遮挡,0.002726829586678329,0.013716026858042338,0,0.006602059299074215,0.012783297549066052,0,STR9,175.0,24.0,3.0,正常,True
PV080,-7.7,隐裂,False,未发现疑似遮挡,0.010071201950479159,0.013716026858042338,0,0.0077115028003112655,0.012783297549066052,0,STR9,175.0,24.0,3.0,隐裂,True
PV081,-3.2,正常,False,未发现疑似遮挡,0.008650116220031163,0.013716026858042338,0,0.005063568291418115,0.012783297549066052,0,STR9,175.0,24.0,3.0,正常,True
PV082,4.1,正常,False,未发现疑似遮挡,0.007708101265257017,0.013716026858042338,0,0.008130019490914303,0.012783297549066052,0,STR9,175.0,24.0,3.0,正常,True
PV083,-12.3,隐裂,False,未发现疑似遮挡,0.009470062536262572,0.015221232598954013,0,0.007153619777896862,0.012783297549066052,0,STR10,180.0,25.0,1.0,隐裂,True
PV084,-33.1,热斑,False,未发现疑似遮挡,0.014091930509140071,0.015221232598954013,3,0.01918568548349482,0.012783297549066052,1,STR10,180.0,25.0,1.0,热斑,True
PV085,3.8,正常,False,未发现疑似遮挡,0.00768894725149006,0.015221232598954013,0,0.006346638141912881,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV086,3.7,正常,False,未发现疑似遮挡,0.004672000029326123,0.015221232598954013,0,0.005200476867867312,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV087,0.9,正常,False,未发现疑似遮挡,0.005449072731236725,0.015221232598954013,0,0.007536637864053102,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV088,-0.1,正常,False,未发现疑似遮挡,0.007567581622180903,0.015221232598954013,0,0.005141836783622348,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV089,-3.6,正常,False,未发现疑似遮挡,0.005280503548718524,0.015221232598954013,0,0.007289658996555047,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV090,-1.3,正常,False,未发现疑似遮挡,0.0053170550291835985,0.015221232598954013,0,0.004727556342720011,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV091,4.3,正常,False,未发现疑似遮挡,0.005131086604349671,0.015221232598954013,0,0.005295207305541215,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV092,2.7,正常,False,未发现疑似遮挡,0.00908540166858667,0.015221232598954013,0,0.00587586416564122,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV093,-10.1,隐裂,False,未发现疑似遮挡,0.012140751041489107,0.015221232598954013,0,0.012288311400970798,0.012783297549066052,0,STR10,180.0,25.0,1.0,隐裂,True
PV094,-2.3,正常,False,未发现疑似遮挡,0.0073820964801018804,0.015221232598954013,0,0.0050173357674005966,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV095,-2.0,正常,False,未发现疑似遮挡,0.007980900629164931,0.015221232598954013,0,0.004886498502716565,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV096,0.8,正常,False,未发现疑似遮挡,0.007962703535080216,0.015221232598954013,0,0.008048386336990792,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV097,-6.5,隐裂,False,未发现疑似遮挡,0.007066905960905248,0.015221232598954013,0,0.010131714897836923,0.012783297549066052,0,STR10,180.0,25.0,1.0,隐裂,True
PV098,-3.8,正常,False,未发现疑似遮挡,0.009133676364108657,0.015221232598954013,0,0.005987046722180869,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV099,2.1,正常,False,未发现疑似遮挡,0.008224360306109506,0.015221232598954013,0,0.006809259384471018,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
PV100,2.9,正常,False,未发现疑似遮挡,0.006895086245719325,0.015221232598954013,0,0.004620056287825598,0.012783297549066052,0,STR10,180.0,25.0,1.0,正常,True
